"Dish ID
[001]","Dish URL
[002]","Category
[003]","Dish Name
[004]","Sub-Recipe ID
[005]","Sub-Recipe Name (Live Sync)
[006]","Per Portion
[007]","Unit
[008]",Price
408,https://eatbetterday.ca/admin/meals/408,Veg,Ciabatta Pulled P'ork,,,,,$15.99
408,,,,2038,Bbq Glazed Curls + Veggies,130,gr,
408,,,,1984,Sandwich Slaw,40,gr,
408,,,,878,Thick Vegan Mayo,25,gr,
408,,,,2030,Defrost Ciabatta Bread,1,un,
463,https://eatbetterday.ca/admin/meals/463,Meat,All Hail the Chicken Caesar,,,,,$16.99
463,,,,635,Lemon Caesar Rice Base,140,gr,
463,,,,1230,Air Dried Shredded Kale,55,gr,
463,,,,278,Housemade Vegan Feta,10,gr,
463,,,,2590,2.5oz Caesar Dressing,1,un,
463,,,,2591,2 oz Savory Garlic Granola,1,un,
463,,,,2952,Dill Pickle Sliced Seasoned Chicken,1,un,
466,https://eatbetterday.ca/admin/meals/466,Meat,Bangkok Basil Beef Pad Krapow,,,,,$16.99
466,,,,2585,HF Thai Basil Beef + Veg,210,gr,
466,,,,1751,Carrot + Green Onion Garnish,12,gr,
466,,,,304,Sesame Seed Mix,1,gr,
466,,,,620,Sticky Rice Balls,1,un,
466,,,,2725,HF Zing Sauce packing,1,un,
467,https://eatbetterday.ca/admin/meals/467,Veg,Bangkok Basil Tempeh Pad Krapow,,,,,$15.99
467,,,,2586,HF Krapow Tempeh + Veg,210,gr,
467,,,,1751,Carrot + Green Onion Garnish,12,gr,
467,,,,304,Sesame Seed Mix,2,gr,
467,,,,620,Sticky Rice Balls,1,un,
467,,,,2725,HF Zing Sauce packing,1,un,
397,https://eatbetterday.ca/admin/meals/397,Meat,Beach Bum Chicken Thai Green Curry,,,,,$16.99
397,,,,1383,Vegan Green Curry,210,gr,
397,,,,2467,Diced Viet Chicken Breast For Grams,70,gr,
397,,,,1230,Air Dried Shredded Kale,4,gr,
397,,,,304,Sesame Seed Mix,3,gr,
397,,,,178,1oz Peanut Cup Portioned,1,un,
397,,,,619,Lime Rice Balls,1,un,
425,https://eatbetterday.ca/admin/meals/425,Veg,Beach Bum Veggie Thai Green Curry,,,,,$15.99
425,,,,1383,Vegan Green Curry,300,gr,
425,,,,1230,Air Dried Shredded Kale,4,gr,
425,,,,304,Sesame Seed Mix,3,gr,
425,,,,178,1oz Peanut Cup Portioned,1,un,
425,,,,619,Lime Rice Balls,1,un,
62,https://eatbetterday.ca/admin/meals/62,Veg,Blackened Chick'n Caesar Bowl,,,,,$15.99
62,,,,635,Lemon Caesar Rice Base,140,gr,
62,,,,1623,Blackened Soy Curl,68,gr,
62,,,,1230,Air Dried Shredded Kale,55,gr,
62,,,,278,Housemade Vegan Feta,10,gr,
62,,,,2590,2.5oz Caesar Dressing,1,un,
62,,,,2591,2 oz Savory Garlic Granola,1,un,
333,https://eatbetterday.ca/admin/meals/333,Meat,Braised Beef Fajita Fiesta Bowl,,,,,$16.99
333,,,,1584,Roasted Fajita Veg,150,gr,
333,,,,912,Fiesta Mexi Rice (Oven F),145,gr,
333,,,,2270,Sauced Torta Meat,80,gr,
